id,District,Category,subCategory,Cohort_Year,Cohort,Total_Cohort,Percent_Cohort,Number_Grads,Percent_Grads
1,1,Ethnicity,Asian,2019,4 year August,247,25.8,193,78.1
2,1,Ethnicity,Black,2019,4 year August,158,16.5,114,72.2
3,1,Ethnicity,Hispanic,2019,4 year August,374,39,237,63.4
4,1,Ethnicity,Multi-Racial,2019,4 year August,14,1.5,13,92.9
5,1,Ethnicity,Native,2019,4 year August,7,0.7,5,71.4
6,1,Ethnicity,White,2019,4 year August,158,16.5,146,92.4
7,2,Ethnicity,Asian,2019,4 year August,1494,18,1415,94.7
8,2,Ethnicity,Black,2019,4 year August,1535,18.5,1190,77.5
9,2,Ethnicity,Hispanic,2019,4 year August,3733,45,2909,77.9
10,2,Ethnicity,Multi-Racial,2019,4 year August,183,2.2,169,92.3
11,2,Ethnicity,Native,2019,4 year August,67,0.8,54,80.6
12,2,Ethnicity,White,2019,4 year August,1277,15.4,1177,92.2
13,3,Ethnicity,Asian,2019,4 year August,298,12.5,291,97.7
14,3,Ethnicity,Black,2019,4 year August,460,19.3,384,83.5
15,3,Ethnicity,Hispanic,2019,4 year August,866,36.3,704,81.3
16,3,Ethnicity,Multi-Racial,2019,4 year August,72,3,67,93.1
17,3,Ethnicity,Native,2019,4 year August,18,0.8,16,88.9
18,3,Ethnicity,White,2019,4 year August,674,28.2,657,97.5
19,4,Ethnicity,Asian,2019,4 year August,122,12.9,118,96.7
20,4,Ethnicity,Black,2019,4 year August,242,25.6,202,83.5
21,4,Ethnicity,Hispanic,2019,4 year August,509,53.8,453,89
22,4,Ethnicity,Multi-Racial,2019,4 year August,7,0.7,6,85.7
23,4,Ethnicity,Native,2019,4 year August,12,1.3,10,83.3
24,4,Ethnicity,White,2019,4 year August,54,5.7,51,94.4
25,5,Ethnicity,Asian,2019,4 year August,56,6.5,52,92.9
26,5,Ethnicity,Black,2019,4 year August,388,44.8,278,71.6
27,5,Ethnicity,Hispanic,2019,4 year August,320,36.9,233,72.8
28,5,Ethnicity,Multi-Racial,2019,4 year August,16,1.8,14,87.5
29,5,Ethnicity,Native,2019,4 year August,14,1.6,12,85.7
30,5,Ethnicity,White,2019,4 year August,73,8.4,65,89
31,6,Ethnicity,Asian,2019,4 year August,15,1.2,10,66.7
32,6,Ethnicity,Black,2019,4 year August,187,15.4,149,79.7
33,6,Ethnicity,Hispanic,2019,4 year August,979,80.8,823,84.1
34,6,Ethnicity,Multi-Racial,2019,4 year August,6,0.5,2,33.3
35,6,Ethnicity,Native,2019,4 year August,6,0.5,5,83.3
36,6,Ethnicity,White,2019,4 year August,19,1.6,12,63.2
37,7,Ethnicity,Asian,2019,4 year August,27,1.6,24,88.9
38,7,Ethnicity,Black,2019,4 year August,475,28.8,332,69.9
39,7,Ethnicity,Hispanic,2019,4 year August,1094,66.4,785,71.8
40,7,Ethnicity,Multi-Racial,2019,4 year August,13,0.8,12,92.3
41,7,Ethnicity,Native,2019,4 year August,13,0.8,9,69.2
42,7,Ethnicity,White,2019,4 year August,26,1.6,17,65.4
43,8,Ethnicity,Asian,2019,4 year August,95,5.6,82,86.3
44,8,Ethnicity,Black,2019,4 year August,421,24.8,313,74.3
45,8,Ethnicity,Hispanic,2019,4 year August,1037,61.2,765,73.8
46,8,Ethnicity,Multi-Racial,2019,4 year August,12,0.7,3,25
47,8,Ethnicity,Native,2019,4 year August,33,1.9,26,78.8
48,8,Ethnicity,White,2019,4 year August,97,5.7,76,78.4
49,9,Ethnicity,Asian,2019,4 year August,36,1.8,32,88.9
50,9,Ethnicity,Black,2019,4 year August,552,28.2,395,71.6
51,9,Ethnicity,Hispanic,2019,4 year August,1332,68.1,1092,82
52,9,Ethnicity,Multi-Racial,2019,4 year August,8,0.4,6,75
53,9,Ethnicity,Native,2019,4 year August,14,0.7,11,78.6
54,9,Ethnicity,White,2019,4 year August,15,0.8,11,73.3
55,10,Ethnicity,Asian,2019,4 year August,600,16.6,590,98.3
56,10,Ethnicity,Black,2019,4 year August,584,16.2,500,85.6
57,10,Ethnicity,Hispanic,2019,4 year August,2036,56.4,1711,84
58,10,Ethnicity,Multi-Racial,2019,4 year August,37,1,34,91.9
59,10,Ethnicity,Native,2019,4 year August,40,1.1,30,75
60,10,Ethnicity,White,2019,4 year August,312,8.6,290,92.9
61,11,Ethnicity,Asian,2019,4 year August,118,5.7,106,89.8
62,11,Ethnicity,Black,2019,4 year August,802,38.6,649,80.9
63,11,Ethnicity,Hispanic,2019,4 year August,978,47.1,779,79.7
64,11,Ethnicity,Multi-Racial,2019,4 year August,9,0.4,5,55.6
65,11,Ethnicity,Native,2019,4 year August,28,1.3,21,75
66,11,Ethnicity,White,2019,4 year August,141,6.8,104,73.8
67,12,Ethnicity,Asian,2019,4 year August,27,2.1,25,92.6
68,12,Ethnicity,Black,2019,4 year August,317,24.9,202,63.7
69,12,Ethnicity,Hispanic,2019,4 year August,892,70.2,674,75.6
70,12,Ethnicity,Native,2019,4 year August,12,0.9,10,83.3
71,12,Ethnicity,White,2019,4 year August,23,1.8,12,52.2
72,13,Ethnicity,Asian,2019,4 year August,1009,35.8,978,96.9
73,13,Ethnicity,Black,2019,4 year August,932,33.1,805,86.4
74,13,Ethnicity,Hispanic,2019,4 year August,413,14.7,348,84.3
75,13,Ethnicity,Multi-Racial,2019,4 year August,31,1.1,28,90.3
76,13,Ethnicity,Native,2019,4 year August,23,0.8,22,95.7
77,13,Ethnicity,White,2019,4 year August,410,14.5,399,97.3
78,14,Ethnicity,Asian,2019,4 year August,123,9,122,99.2
79,14,Ethnicity,Black,2019,4 year August,365,26.8,313,85.8
80,14,Ethnicity,Hispanic,2019,4 year August,759,55.6,644,84.8
81,14,Ethnicity,Multi-Racial,2019,4 year August,24,1.8,23,95.8
82,14,Ethnicity,Native,2019,4 year August,8,0.6,6,75
83,14,Ethnicity,White,2019,4 year August,85,6.2,75,88.2
84,15,Ethnicity,Asian,2019,4 year August,135,8.6,114,84.4
85,15,Ethnicity,Black,2019,4 year August,486,30.9,400,82.3
86,15,Ethnicity,Hispanic,2019,4 year August,677,43.1,513,75.8
87,15,Ethnicity,Multi-Racial,2019,4 year August,36,2.3,29,80.6
88,15,Ethnicity,Native,2019,4 year August,8,0.5,6,75
89,15,Ethnicity,White,2019,4 year August,229,14.6,188,82.1
90,16,Ethnicity,Asian,2019,4 year August,9,2.1,5,55.6
91,16,Ethnicity,Black,2019,4 year August,279,66.6,177,63.4
92,16,Ethnicity,Hispanic,2019,4 year August,114,27.2,73,64
93,16,Ethnicity,Multi-Racial,2019,4 year August,7,1.7,4,57.1
94,16,Ethnicity,Native,2019,4 year August,4,1,3,75
95,16,Ethnicity,White,2019,4 year August,6,1.4,4,66.7
96,17,Ethnicity,Asian,2019,4 year August,67,3.7,62,92.5
97,17,Ethnicity,Black,2019,4 year August,1378,76.5,1160,84.2
98,17,Ethnicity,Hispanic,2019,4 year August,280,15.5,199,71.1
99,17,Ethnicity,Multi-Racial,2019,4 year August,8,0.4,6,75
100,17,Ethnicity,Native,2019,4 year August,23,1.3,14,60.9
101,17,Ethnicity,White,2019,4 year August,45,2.5,36,80
102,18,Ethnicity,Asian,2019,4 year August,19,2.3,12,63.2
103,18,Ethnicity,Black,2019,4 year August,684,82.3,496,72.5
104,18,Ethnicity,Hispanic,2019,4 year August,80,9.6,46,57.5
105,18,Ethnicity,Native,2019,4 year August,15,1.8,9,60
106,18,Ethnicity,White,2019,4 year August,33,4,24,72.7
107,19,Ethnicity,Asian,2019,4 year August,89,6.6,83,93.3
108,19,Ethnicity,Black,2019,4 year August,632,46.6,531,84
109,19,Ethnicity,Hispanic,2019,4 year August,573,42.3,490,85.5
110,19,Ethnicity,Multi-Racial,2019,4 year August,15,1.1,10,66.7
111,19,Ethnicity,Native,2019,4 year August,22,1.6,19,86.4
112,19,Ethnicity,White,2019,4 year August,25,1.8,22,88
113,20,Ethnicity,Asian,2019,4 year August,1094,34.7,941,86
114,20,Ethnicity,Black,2019,4 year August,135,4.3,118,87.4
115,20,Ethnicity,Hispanic,2019,4 year August,1118,35.5,811,72.5
116,20,Ethnicity,Multi-Racial,2019,4 year August,27,0.9,18,66.7
117,20,Ethnicity,Native,2019,4 year August,22,0.7,17,77.3
118,20,Ethnicity,White,2019,4 year August,754,23.9,646,85.7
119,21,Ethnicity,Asian,2019,4 year August,596,21.1,506,84.9
120,21,Ethnicity,Black,2019,4 year August,668,23.7,563,84.3
121,21,Ethnicity,Hispanic,2019,4 year August,783,27.8,610,77.9
122,21,Ethnicity,Multi-Racial,2019,4 year August,35,1.2,31,88.6
123,21,Ethnicity,Native,2019,4 year August,27,1,24,88.9
124,21,Ethnicity,White,2019,4 year August,712,25.2,603,84.7
125,22,Ethnicity,Asian,2019,4 year August,622,25.6,567,91.2
126,22,Ethnicity,Black,2019,4 year August,560,23.1,473,84.5
127,22,Ethnicity,Hispanic,2019,4 year August,388,16,324,83.5
128,22,Ethnicity,Multi-Racial,2019,4 year August,23,0.9,21,91.3
129,22,Ethnicity,Native,2019,4 year August,14,0.6,11,78.6
130,22,Ethnicity,White,2019,4 year August,818,33.7,734,89.7
131,23,Ethnicity,Asian,2019,4 year August,4,0.9,2,50
132,23,Ethnicity,Black,2019,4 year August,354,77.8,220,62.1
133,23,Ethnicity,Hispanic,2019,4 year August,80,17.6,31,38.8
134,23,Ethnicity,Multi-Racial,2019,4 year August,1,0.2,0,0
135,23,Ethnicity,Native,2019,4 year August,6,1.3,2,33.3
136,23,Ethnicity,White,2019,4 year August,10,2.2,4,40
137,24,Ethnicity,Asian,2019,4 year August,581,17.4,534,91.9
138,24,Ethnicity,Black,2019,4 year August,152,4.6,114,75
139,24,Ethnicity,Hispanic,2019,4 year August,2178,65.3,1823,83.7
140,24,Ethnicity,Multi-Racial,2019,4 year August,33,1,27,81.8
141,24,Ethnicity,Native,2019,4 year August,16,0.5,13,81.3
142,24,Ethnicity,White,2019,4 year August,375,11.2,331,88.3
143,25,Ethnicity,Asian,2019,4 year August,715,30.7,653,91.3
144,25,Ethnicity,Black,2019,4 year August,256,11,202,78.9
145,25,Ethnicity,Hispanic,2019,4 year August,1072,46,826,77.1
146,25,Ethnicity,Multi-Racial,2019,4 year August,43,1.8,38,88.4
147,25,Ethnicity,Native,2019,4 year August,23,1,20,87
148,25,Ethnicity,White,2019,4 year August,221,9.5,188,85.1
149,26,Ethnicity,Asian,2019,4 year August,1472,45.1,1397,94.9
150,26,Ethnicity,Black,2019,4 year August,580,17.8,534,92.1
151,26,Ethnicity,Hispanic,2019,4 year August,728,22.3,647,88.9
152,26,Ethnicity,Multi-Racial,2019,4 year August,45,1.4,40,88.9
153,26,Ethnicity,Native,2019,4 year August,53,1.6,51,96.2
154,26,Ethnicity,White,2019,4 year August,386,11.8,339,87.8
155,27,Ethnicity,Asian,2019,4 year August,670,23.5,566,84.5
156,27,Ethnicity,Black,2019,4 year August,751,26.3,623,83
157,27,Ethnicity,Hispanic,2019,4 year August,1122,39.3,939,83.7
158,27,Ethnicity,Multi-Racial,2019,4 year August,39,1.4,36,92.3
159,27,Ethnicity,Native,2019,4 year August,58,2,45,77.6
160,27,Ethnicity,White,2019,4 year August,215,7.5,178,82.8
161,28,Ethnicity,Asian,2019,4 year August,1138,32.2,1074,94.4
162,28,Ethnicity,Black,2019,4 year August,632,17.9,545,86.2
163,28,Ethnicity,Hispanic,2019,4 year August,1143,32.4,979,85.7
164,28,Ethnicity,Multi-Racial,2019,4 year August,41,1.2,36,87.8
165,28,Ethnicity,Native,2019,4 year August,136,3.8,117,86
166,28,Ethnicity,White,2019,4 year August,443,12.5,402,90.7
167,29,Ethnicity,Asian,2019,4 year August,78,7.5,61,78.2
168,29,Ethnicity,Black,2019,4 year August,732,70.5,632,86.3
169,29,Ethnicity,Hispanic,2019,4 year August,145,14,111,76.6
170,29,Ethnicity,Multi-Racial,2019,4 year August,21,2,17,81
171,29,Ethnicity,Native,2019,4 year August,42,4,36,85.7
172,29,Ethnicity,White,2019,4 year August,21,2,14,66.7
173,30,Ethnicity,Asian,2019,4 year August,440,18.7,403,91.6
174,30,Ethnicity,Black,2019,4 year August,170,7.2,137,80.6
175,30,Ethnicity,Hispanic,2019,4 year August,1292,54.8,1094,84.7
176,30,Ethnicity,Multi-Racial,2019,4 year August,52,2.2,49,94.2
177,30,Ethnicity,Native,2019,4 year August,9,0.4,6,66.7
178,30,Ethnicity,White,2019,4 year August,393,16.7,363,92.4
179,31,Ethnicity,Asian,2019,4 year August,605,13.2,568,93.9
180,31,Ethnicity,Black,2019,4 year August,591,12.9,456,77.2
181,31,Ethnicity,Hispanic,2019,4 year August,1364,29.8,1077,79
182,31,Ethnicity,Multi-Racial,2019,4 year August,71,1.5,62,87.3
183,31,Ethnicity,Native,2019,4 year August,23,0.5,18,78.3
184,31,Ethnicity,White,2019,4 year August,1929,42.1,1788,92.7
185,32,Ethnicity,Asian,2019,4 year August,13,1.9,11,84.6
186,32,Ethnicity,Black,2019,4 year August,106,15.8,80,75.5
187,32,Ethnicity,Hispanic,2019,4 year August,521,77.6,432,82.9
188,32,Ethnicity,Multi-Racial,2019,4 year August,6,0.9,5,83.3
189,32,Ethnicity,Native,2019,4 year August,3,0.4,2,66.7
190,32,Ethnicity,White,2019,4 year August,22,3.3,20,90.9
191,1,Poverty,Econ Disadv,2019,4 year August,633,66.1,452,71.4
192,1,Poverty,No EconDisad,2019,4 year August,325,33.9,256,78.8
193,2,Poverty,Econ Disadv,2019,4 year August,5574,67.2,4522,81.1
194,2,Poverty,No EconDisad,2019,4 year August,2715,32.8,2392,88.1
195,3,Poverty,Econ Disadv,2019,4 year August,1301,54.5,1087,83.6
196,3,Poverty,No EconDisad,2019,4 year August,1087,45.5,1032,94.9
197,4,Poverty,Econ Disadv,2019,4 year August,779,82.3,692,88.8
198,4,Poverty,No EconDisad,2019,4 year August,167,17.7,148,88.6
199,5,Poverty,Econ Disadv,2019,4 year August,609,70.2,441,72.4
200,5,Poverty,No EconDisad,2019,4 year August,258,29.8,213,82.6
201,6,Poverty,Econ Disadv,2019,4 year August,1062,87.6,890,83.8
202,6,Poverty,No EconDisad,2019,4 year August,150,12.4,111,74
203,7,Poverty,Econ Disadv,2019,4 year August,1481,89.9,1060,71.6
204,7,Poverty,No EconDisad,2019,4 year August,167,10.1,119,71.3
205,8,Poverty,Econ Disadv,2019,4 year August,1375,81.1,1016,73.9
206,8,Poverty,No EconDisad,2019,4 year August,320,18.9,249,77.8
207,9,Poverty,Econ Disadv,2019,4 year August,1743,89.1,1395,80
208,9,Poverty,No EconDisad,2019,4 year August,214,10.9,152,71
